,0
2024-03-07,106869.94651573907
2024-03-08,106921.79197591601
2024-03-09,106877.86066080247
2024-03-10,107073.70971775008
2024-03-11,107575.37279463171
2024-03-12,107157.6282921314
2024-03-13,107431.77271512579
2024-03-14,107155.96866467156
2024-03-15,106919.22768878198
2024-03-16,106521.13187373763
2024-03-17,106525.34277164555
2024-03-18,107104.78705547855
2024-03-19,106824.4792316823
2024-03-20,108230.8605578405
2024-03-21,107943.29593162179
2024-03-22,107319.6144405552
2024-03-23,107268.07487249831
2024-03-24,107550.66712468046
2024-03-25,107770.29115853322
2024-03-26,107702.63693325837
2024-03-27,107810.14174259843
2024-03-28,109014.66030289567
2024-03-29,109125.28260852303
2024-03-30,108863.97914622776
2024-03-31,109205.9665364434
2024-04-01,109547.38119247682
2024-04-02,110326.83336442152
2024-04-03,111321.9069392864
2024-04-04,110531.50773444971
2024-04-05,111771.24944695356
2024-04-06,111416.86366336142
2024-04-07,111025.54303335903
2024-04-08,111829.62277513923
2024-04-09,112191.95524550967
2024-04-10,111945.71208886961
2024-04-11,113070.9004565863
2024-04-12,112869.96838377147
2024-04-13,115241.38077359987
2024-04-14,113842.62071707101
2024-04-15,114941.91889641412
2024-04-16,114039.69334249882
2024-04-17,113871.77809362044
2024-04-18,113644.57184019624
2024-04-19,113930.10586340525
2024-04-20,113717.64100683025
2024-04-21,113351.58576427537
2024-04-22,111928.61467186171
2024-04-23,111564.8243326638
2024-04-24,111205.03011605547
2024-04-25,112007.5543638635
2024-04-26,112470.6555085899
2024-04-27,112821.16882810906
2024-04-28,112821.16882810906
2024-04-29,112821.16882810906
2024-04-30,112821.16882810906
2024-05-01,112821.16882810906
2024-05-02,112821.16882810906
2024-05-03,112821.16882810906
2024-05-04,112821.16882810906
2024-05-05,112821.16882810906
2024-05-06,112821.16882810906
2024-05-07,112821.16882810906
2024-05-08,112821.16882810906
2024-05-09,112821.16882810906
2024-05-10,112821.16882810906
2024-05-11,112821.16882810906
2024-05-12,112821.16882810906
2024-05-13,112821.16882810906
2024-05-14,112821.16882810906
2024-05-15,112821.16882810906
2024-05-16,112821.16882810906
2024-05-17,112821.16882810906
2024-05-18,112821.16882810906
2024-05-19,112821.16882810906
2024-05-20,112821.16882810906
2024-05-21,112821.16882810906
2024-05-22,112821.16882810906
2024-05-23,112821.16882810906
2024-05-24,112821.16882810906
2024-05-25,112821.16882810906
2024-05-26,112821.16882810906
2024-05-27,112821.16882810906
2024-05-28,112821.16882810906
2024-05-29,112821.16882810906
2024-05-30,112821.16882810906
2024-05-31,112821.16882810906
2024-06-01,112821.16882810906
2024-06-02,112821.16882810906
2024-06-03,112821.16882810906
2024-06-04,112821.16882810906
2024-06-05,112821.16882810906
2024-06-06,112821.16882810906
2024-06-07,112821.16882810906
2024-06-08,112821.16882810906
2024-06-09,112821.16882810906
2024-06-10,112821.16882810906
2024-06-11,112821.16882810906
2024-06-12,112821.16882810906
2024-06-13,112821.16882810906
2024-06-14,112821.16882810906
2024-06-15,112821.16882810906
2024-06-16,112821.16882810906
2024-06-17,112821.16882810906
2024-06-18,112821.16882810906
2024-06-19,112821.16882810906
2024-06-20,112821.16882810906
2024-06-21,112821.16882810906
2024-06-22,112821.16882810906
2024-06-23,112821.16882810906
2024-06-24,112821.16882810906
2024-06-25,112821.16882810906
2024-06-26,112821.16882810906
2024-06-27,112821.16882810906
2024-06-28,112821.16882810906
2024-06-29,112821.16882810906
2024-06-30,112821.16882810906
2024-07-01,112821.16882810906
2024-07-02,112821.16882810906
2024-07-03,112821.16882810906
2024-07-04,112821.16882810906
2024-07-05,113514.43053099171
2024-07-06,113458.1746841952
2024-07-07,113504.51486821321
2024-07-08,113273.73743671624
2024-07-09,113238.923100716
2024-07-10,113495.13198731533
2024-07-11,114358.26823293955
2024-07-12,114364.98720443423
2024-07-13,114323.16974660296
2024-07-14,114323.16974660296
2024-07-15,114323.16974660296
2024-07-16,114323.16974660296
2024-07-17,114323.16974660296
2024-07-18,114323.16974660296
2024-07-19,114560.24604236636
2024-07-20,115337.41471250387
2024-07-21,117816.29502302226
2024-07-22,114947.71842275532
2024-07-23,111422.3978209806
2024-07-24,111422.3978209806
2024-07-25,111422.3978209806
2024-07-26,111422.3978209806
2024-07-27,111422.3978209806
2024-07-28,111422.3978209806
2024-07-29,112125.44765522779
2024-07-30,112370.59789338961
2024-07-31,111312.04421148734
2024-08-01,111945.3447314022
