strategy_id,params,total_return,sharpe_ratio,max_drawdown,win_rate,num_trades,profit_factor,avg_trade,trades_per_year
39,"{'type': 'RSI', 'period': 21, 'oversold': 25, 'overbought': 80}",-70.11308576834499,-0.19708638257624142,-89.07038477614478,0.5654627539503386,886,0.8930485599066128,-7.9134408316416325,0.4630690833068896
53,"{'type': 'RSI', 'period': 28, 'oversold': 25, 'overbought': 70}",-63.63624333377717,-0.33850055043606564,-80.88945134435859,0.5607701564380265,831,0.8812037413733425,-7.657791014894983,0.43432325985104436
49,"{'type': 'RSI', 'period': 28, 'oversold': 20, 'overbought': 70}",-54.050097054003935,-0.4445252603014772,-67.50636538788015,0.5254237288135594,354,0.7868868469303564,-15.268388998306195,0.18501857278853154
34,"{'type': 'RSI', 'period': 21, 'oversold': 20, 'overbought': 75}",-76.1101270265051,-0.5371806107354125,-87.31813349792806,0.550125313283208,798,0.8184957146357243,-9.537609903070816,0.4170757657775372
61,"{'type': 'RSI', 'period': 28, 'oversold': 35, 'overbought': 70}",-89.61081295988149,-0.6398414867853857,-95.95636138729444,0.5709183673469388,1960,0.9093321364157664,-4.571980253055182,1.024396617699214
0,"{'type': 'Breakout', 'lookback': 10, 'breakout_pct': 0.5}",-84.75360577248009,-0.6812291031152479,-92.90257426916756,0.336322869955157,669,0.8464411606240806,-12.668700414421522,0.34965374349019096
57,"{'type': 'RSI', 'period': 28, 'oversold': 30, 'overbought': 70}",-88.00339680829003,-0.6922261979907446,-94.37389751665603,0.5571030640668524,1436,0.8702484175737886,-6.128370251273701,0.7505273178653425
38,"{'type': 'RSI', 'period': 21, 'oversold': 25, 'overbought': 75}",-90.43233424222119,-0.7832733233228325,-95.11501674283045,0.5543556515478761,1389,0.8321339537719867,-6.510607216862598,0.7259627050939839
42,"{'type': 'RSI', 'period': 21, 'oversold': 30, 'overbought': 75}",-93.55620131196997,-0.8252669542527442,-96.80866231429319,0.5697252462415759,1929,0.8724535839177182,-4.849984515913428,1.0081944262968285
46,"{'type': 'RSI', 'period': 21, 'oversold': 35, 'overbought': 75}",-94.84067742798365,-0.8266951706822934,-98.23232422903438,0.5556049822064056,2248,0.906005071571562,-4.2188913446612,1.1749202023407312
52,"{'type': 'RSI', 'period': 28, 'oversold': 25, 'overbought': 65}",-82.87891584786432,-0.9272462401185189,-88.34036821038461,0.5482866043613707,963,0.7783173855803966,-8.60632563321541,0.5033132361450731
