simulation,return_pct
453,16070892920980.172
454,22744092773056.383
455,6229682373348.247
456,24561108145677.59
457,9518118786217.518
458,43816149928423.67
459,14819192269083.15
460,45622995803528.38
461,16175558162673.254
462,37063973897514.8
463,20417544459474.316
464,49723531198028.984
465,55532274662256.18
466,10617081760980.69
467,12343548218098.125
468,80290314638928.58
469,24999560374141.844
470,60647073442518.41
471,30603487681810.87
472,23478479794399.24
473,14184697637837.246
474,81140559682985.23
475,14410275680220.035
476,42737596246761.805
477,6987642790621.118
478,2633228484560.774
479,38661548522163.484
480,13273537366238.215
481,7717790721811.067
482,40772079699216.84
483,27463124713741.266
484,6488839431790.625
485,87348302486551.88
486,8829264808191.973
487,16469663121473.064
488,16586114474409.26
489,43151435842289.13
490,74049157353914.86
491,4101479955563.6045
492,170090402174907.94
493,40011624227639.4
494,1615750141671.5098
495,24733833915169.066
496,19898949569072.58
497,13273362933341.654
498,16611104013135.938
499,5787056052580.687
500,31962390739080.73
501,8761743110801.525
502,34670191461176.496
503,7827331589704.796
504,3199692452490.333
505,68252203673133.664
506,17369616434848.102
507,14821871081179.049
508,9151174328266.096
509,52586484383661.44
510,3940301092782.566
511,19207321601212.84
512,9236242174325.691
513,21282118674061.984
514,17045445017813.389
515,1567409825422.691
516,18703499742726.18
517,23030519689074.473
518,4978924213161.379
519,31659171428360.45
520,2448825703304.5923
521,6209933802379.166
522,40183174423264.84
523,37585271868528.39
524,57711561805581.51
525,35488788432104.055
526,18733783618251.273
527,120136107093950.92
528,78356885589812.34
529,15123271724618.207
530,6180278069446.638
531,43464174886027.58
532,24971820895898.895
533,36507665958544.22
534,29222035978853.062
535,3999349226813.7246
536,34015403998370.117
537,14820252014931.46
538,6743936042682.593
539,17659451728950.496
540,223412734320630.8
541,10970657172642.682
542,16172348754081.553
543,64283394008848.18
544,45046106592599.125
545,36234780824288.14
546,6104989548739.271
547,2216230871367.362
548,35639119882299.9
549,24002190450485.37
550,245697665204161.0
551,19508431813882.78
552,48955037696366.04
553,6021161186038.239
554,3991299707568.442
555,18743167970337.242
556,2875095091707.7236
557,194262505098927.2
558,5488429764200.1
559,107467344281955.7
560,29171233056431.12
561,100126579505588.75
562,10463155098513.9
563,3479668637165.9653
564,29669165847196.29
565,5714429853323.018
566,19521941106511.85
567,29125599936667.04
568,7485645725376.422
569,24080228487569.008
570,15251143805770.658
571,34535968028653.914
572,11569092369114.451
573,7356351832199.905
574,95370907907565.92
575,10063592262856.229
576,16325247458093.994
577,9480831109343.736
578,3284569069931.8364
579,22169482490261.863
580,8194149955060.477
581,8850922980588.287
582,11569824190106.719
