,0
2021-01-06,101041.40800841457
2021-01-07,100561.60853836036
2021-01-08,96578.9266451639
2021-01-09,96957.96841505033
2021-01-10,96435.58323040424
2021-01-11,95843.8265703058
2021-01-12,96064.92536595842
2021-01-13,95651.12872569225
2021-01-14,96128.39542671156
2021-01-15,94482.9628545853
2021-01-16,94972.97510300609
2021-01-17,94556.18690427685
2021-01-18,95394.01810232249
2021-01-19,95238.56390361677
2021-01-20,97034.22173192506
2021-01-21,96990.00197279455
2021-01-22,95981.02346368547
2021-01-23,96095.3123095906
2021-01-24,95734.77295171103
2021-01-25,95787.3074836286
2021-01-26,95998.63343598276
2021-01-27,95159.28760434553
2021-01-28,95432.64440130148
2021-01-29,96157.38086291253
2021-01-30,96104.50066772716
2021-01-31,96437.1104335692
2021-02-01,96088.50588560847
2021-02-02,95372.67496673306
2021-02-03,95212.8025629863
2021-02-04,93222.34777131095
2021-02-05,94374.51886029918
2021-02-06,94545.99926505705
2021-02-07,94706.04135804436
2021-02-08,95161.61926020644
2021-02-09,95436.98090411558
2021-02-10,95604.33220402001
2021-02-11,94636.36192804435
2021-02-12,94942.61958330733
2021-02-13,95175.94228906637
2021-02-14,94942.57558980052
2021-02-15,94415.69678267314
2021-02-16,93595.75208753903
2021-02-17,92574.18515069567
2021-02-18,92118.56953981347
2021-02-19,93086.63408758944
2021-02-20,93486.70475373094
2021-02-21,93631.72620653607
2021-02-22,94011.4970116782
2021-02-23,93750.19443558813
2021-02-24,93361.17870922925
2021-02-25,91128.2128536583
2021-02-26,90059.93109736964
2021-02-27,90227.87945200934
2021-02-28,89966.01124511744
2021-03-01,89001.71128456703
2021-03-02,90156.9430646719
2021-03-03,88607.11466763
2021-03-04,87892.55956045208
2021-03-05,88137.5028367956
2021-03-06,88384.82804729353
2021-03-07,88598.85645792313
2021-03-08,87766.40503728167
2021-03-09,89030.47046844725
2021-03-10,89571.58431742094
2021-03-11,89772.65978268842
2021-03-12,89576.70641857095
2021-03-13,89797.94976431735
2021-03-14,89432.92935352988
2021-03-15,89327.47063292013
2021-03-16,89755.25092356512
2021-03-17,90534.25023343269
2021-03-18,89837.5753443796
2021-03-19,90793.01375570116
2021-03-20,90791.37342637582
2021-03-21,90040.2911389724
2021-03-22,90018.66518798206
2021-03-23,89696.55101590749
2021-03-24,89726.83740295267
2021-03-25,89189.5258499247
2021-03-26,89826.15588696912
2021-03-27,89341.28459405841
2021-03-28,90071.84076814172
2021-03-29,88826.32802727648
2021-03-30,88826.32802727648
2021-03-31,88826.32802727648
2021-04-01,88826.32802727648
2021-04-02,88826.32802727648
2021-04-03,88826.32802727648
2021-04-04,88826.32802727648
2021-04-05,88826.32802727648
2021-04-06,88826.32802727648
2021-04-07,88826.32802727648
2021-04-08,88826.32802727648
2021-04-09,88826.32802727648
2021-04-10,88826.32802727648
2021-04-11,88826.32802727648
