Datetime,open,high,low,close,volume
2023-11-09 00:00,1.070880,1.072540,1.066010,1.067120,0
2023-11-10 00:00,1.067120,1.069270,1.065600,1.068480,0
2023-11-12 00:00,1.068180,1.069060,1.067990,1.068420,0
2023-11-13 00:00,1.068420,1.070610,1.066500,1.069630,0
2023-11-14 00:00,1.069620,1.088750,1.069280,1.087770,0
2023-11-15 00:00,1.087780,1.088580,1.083000,1.083690,0
2023-11-16 00:00,1.083690,1.089550,1.083340,1.085020,0
2023-11-17 00:00,1.085040,1.091480,1.082470,1.091380,0
2023-11-19 00:00,1.090950,1.093580,1.089740,1.092200,0
2023-11-20 00:00,1.092190,1.096510,1.091290,1.095860,0
2023-11-21 00:00,1.095890,1.096390,1.090010,1.091370,0
2023-11-22 00:00,1.091360,1.091970,1.085220,1.090250,0
2023-11-23 00:00,1.090250,1.093030,1.088700,1.090350,0
2023-11-24 00:00,1.090350,1.094860,1.090140,1.093410,0
2023-11-26 00:00,1.094380,1.094970,1.092670,1.094730,0
2023-11-27 00:00,1.094720,1.096280,1.092510,1.095240,0
2023-11-28 00:00,1.095230,1.101710,1.093440,1.100250,0
2023-11-29 00:00,1.100240,1.100450,1.096010,1.096890,0
2023-11-30 00:00,1.096900,1.098170,1.087940,1.090660,0
2023-12-01 00:00,1.090660,1.091220,1.082870,1.087880,0
2023-12-03 00:00,1.087710,1.089480,1.086650,1.087140,0
2023-12-04 00:00,1.087150,1.088070,1.080400,1.084400,0
2023-12-05 00:00,1.084400,1.084740,1.077810,1.079430,0
2023-12-06 00:00,1.079420,1.080470,1.075800,1.076030,0
2023-12-07 00:00,1.076040,1.081750,1.075520,1.078290,0
2023-12-08 00:00,1.078280,1.079110,1.072360,1.075920,0
2023-12-10 00:00,1.075920,1.077390,1.075560,1.076300,0
2023-12-11 00:00,1.076290,1.077890,1.074150,1.076510,0
2023-12-12 00:00,1.076540,1.082790,1.076530,1.078620,0
2023-12-13 00:00,1.078640,1.091530,1.077310,1.089930,0
2023-12-14 00:00,1.089930,1.100920,1.088000,1.099800,0
2023-12-15 00:00,1.099800,1.099920,1.088850,1.089220,0
2023-12-17 00:00,1.089730,1.091360,1.089200,1.091280,0
2023-12-18 00:00,1.091300,1.093110,1.090710,1.092300,0
2023-12-19 00:00,1.092290,1.098730,1.092070,1.096860,0
2023-12-20 00:00,1.096860,1.097560,1.092980,1.094910,0
2023-12-21 00:00,1.094920,1.101250,1.093520,1.100040,0
2023-12-22 00:00,1.100030,1.104010,1.099380,1.101350,0
2023-12-24 00:00,1.101080,1.101590,1.099330,1.100250,0
2023-12-25 00:00,1.100250,1.102860,1.099740,1.102240,0
2023-12-26 00:00,1.102230,1.104500,1.100850,1.104160,0
2023-12-27 00:00,1.104160,1.112260,1.103640,1.111020,0
2023-12-28 00:00,1.111010,1.113940,1.105520,1.106660,0
2023-12-29 00:00,1.106660,1.108060,1.103390,1.103610,0
2024-01-01 00:00,1.104270,1.104470,1.101650,1.102080,0
2024-01-02 00:00,1.102080,1.103870,1.093750,1.096220,0
2024-01-03 00:00,1.096230,1.096540,1.089290,1.092580,0
2024-01-04 00:00,1.092590,1.097210,1.092080,1.093710,0
2024-01-05 00:00,1.093710,1.099840,1.087670,1.093920,0
2024-01-07 00:00,1.093860,1.095300,1.093060,1.093400,0
2024-01-08 00:00,1.093420,1.097880,1.092260,1.095610,0
2024-01-09 00:00,1.095600,1.096290,1.091030,1.093210,0
2024-01-10 00:00,1.093210,1.098470,1.092280,1.097770,0
2024-01-11 00:00,1.097750,1.100000,1.093020,1.097550,0
2024-01-12 00:00,1.097560,1.098680,1.093590,1.094830,0
2024-01-14 00:00,1.094800,1.096750,1.094070,1.096280,0
2024-01-15 00:00,1.096290,1.096660,1.091340,1.091750,0
2024-01-16 00:00,1.091750,1.092650,1.086200,1.087090,0
2024-01-17 00:00,1.087090,1.090280,1.084450,1.089410,0
2024-01-18 00:00,1.089400,1.090670,1.084660,1.088640,0
2024-01-19 00:00,1.088650,1.089830,1.086560,1.089600,0
2024-01-21 00:00,1.089060,1.090910,1.088780,1.090280,0
2024-01-22 00:00,1.090290,1.090940,1.087560,1.089830,0
2024-01-23 00:00,1.089840,1.091620,1.082150,1.086450,0
2024-01-24 00:00,1.086440,1.093230,1.085920,1.087540,0
2024-01-25 00:00,1.087540,1.090180,1.082160,1.083950,0
2024-01-26 00:00,1.083950,1.088540,1.081280,1.085040,0
2024-01-28 00:00,1.084680,1.084900,1.083930,1.084480,0
2024-01-29 00:00,1.084460,1.085000,1.079580,1.082530,0
2024-01-30 00:00,1.082510,1.085730,1.081190,1.082050,0
2024-01-31 00:00,1.082030,1.088740,1.079490,1.080760,0
2024-02-01 00:00,1.080760,1.087960,1.077990,1.087300,0
2024-02-02 00:00,1.087300,1.089740,1.078040,1.078490,0
2024-02-04 00:00,1.078540,1.078580,1.076730,1.077880,0
2024-02-05 00:00,1.077880,1.078610,1.072310,1.074890,0
2024-02-06 00:00,1.074900,1.076650,1.072250,1.075900,0
2024-02-07 00:00,1.075890,1.078830,1.075560,1.077990,0
2024-02-08 00:00,1.077970,1.078890,1.074160,1.077110,0
2024-02-09 00:00,1.077100,1.079510,1.076210,1.078210,0
2024-02-11 00:00,1.077670,1.079970,1.077660,1.079040,0
2024-02-12 00:00,1.079030,1.080550,1.075590,1.076370,0
2024-02-13 00:00,1.076350,1.079850,1.070050,1.071430,0
2024-02-14 00:00,1.071440,1.073540,1.069490,1.072590,0
2024-02-15 00:00,1.072600,1.078470,1.072600,1.075930,0
2024-02-16 00:00,1.075910,1.078740,1.073190,1.077490,0
2024-02-18 00:00,1.077180,1.078890,1.077180,1.077780,0
2024-02-19 00:00,1.077790,1.078940,1.076150,1.076890,0
2024-02-20 00:00,1.076900,1.083870,1.076510,1.081410,0
2024-02-21 00:00,1.081410,1.083210,1.078990,1.083030,0
2024-02-22 00:00,1.083020,1.088820,1.080260,1.082540,0
2024-02-23 00:00,1.082530,1.083950,1.081170,1.081740,0
2024-02-25 00:00,1.083180,1.083220,1.081260,1.082110,0
2024-02-26 00:00,1.082100,1.085970,1.081880,1.085340,0
2024-02-27 00:00,1.085330,1.086590,1.083180,1.083230,0
2024-02-28 00:00,1.083220,1.084580,1.079660,1.083630,0
2024-02-29 00:00,1.083630,1.085580,1.079580,1.081350,0
2024-03-01 00:00,1.081350,1.084320,1.079810,1.083680,0
2024-03-03 00:00,1.083590,1.084800,1.083500,1.084360,0
2024-03-04 00:00,1.084350,1.086670,1.083770,1.085050,0
2024-03-05 00:00,1.085040,1.087600,1.084030,1.085160,0
2024-03-06 00:00,1.085160,1.091530,1.085160,1.090350,0
2024-03-07 00:00,1.090340,1.095560,1.086780,1.094560,0
2024-03-08 00:00,1.094560,1.098120,1.091830,1.093480,0
2024-03-10 00:00,1.094110,1.094650,1.093590,1.093860,0
2024-03-11 00:00,1.093860,1.094800,1.091450,1.093680,0
2024-03-12 00:00,1.093690,1.094380,1.090230,1.092340,0
2024-03-13 00:00,1.092330,1.096380,1.092010,1.094240,0
2024-03-14 00:00,1.094240,1.094540,1.087300,1.087630,0
2024-03-15 00:00,1.087630,1.089960,1.087320,1.088690,0
2024-03-17 00:00,1.089050,1.089170,1.088050,1.088750,0
2024-03-18 00:00,1.088750,1.090610,1.086610,1.087060,0
2024-03-19 00:00,1.087060,1.087210,1.083470,1.086650,0
2024-03-20 00:00,1.086660,1.093890,1.083640,1.093310,0
2024-03-21 00:00,1.093310,1.094260,1.083110,1.083320,0
2024-03-22 00:00,1.083320,1.084190,1.080170,1.080650,0
2024-03-24 00:00,1.080680,1.082200,1.080210,1.081310,0
2024-03-25 00:00,1.081310,1.084540,1.080710,1.084010,0
2024-03-26 00:00,1.084000,1.086430,1.082050,1.082980,0
2024-03-27 00:00,1.082980,1.083900,1.080800,1.082340,0
2024-03-28 00:00,1.082350,1.082650,1.077360,1.077660,0
2024-03-29 00:00,1.077650,1.080510,1.076780,1.078980,0
2024-03-31 00:00,1.078820,1.079870,1.078470,1.079030,0
2024-04-01 00:00,1.079020,1.079210,1.072950,1.073000,0
2024-04-02 00:00,1.073020,1.077930,1.072460,1.077720,0
2024-04-03 00:00,1.077730,1.084440,1.076400,1.084250,0
2024-04-04 00:00,1.084250,1.087650,1.082330,1.082670,0
2024-04-05 00:00,1.082660,1.084790,1.079130,1.083520,0
2024-04-07 00:00,1.083470,1.084320,1.082300,1.083330,0
2024-04-08 00:00,1.083340,1.086350,1.082080,1.085530,0
2024-04-09 00:00,1.085540,1.088500,1.084770,1.085290,0
2024-04-10 00:00,1.085300,1.086650,1.072880,1.074460,0
2024-04-11 00:00,1.074460,1.075640,1.069920,1.071700,0
2024-04-12 00:00,1.071710,1.071740,1.062260,1.063850,0
2024-04-14 00:00,1.063520,1.065490,1.063090,1.065190,0
2024-04-15 00:00,1.065190,1.066510,1.060610,1.061130,0
2024-04-16 00:00,1.061140,1.065350,1.060100,1.062710,0
2024-04-17 00:00,1.062720,1.068020,1.060600,1.067990,0
2024-04-18 00:00,1.067990,1.069000,1.061040,1.063710,0
2024-04-19 00:00,1.063720,1.067750,1.062700,1.065260,0
2024-04-21 00:00,1.064950,1.067060,1.064560,1.066170,0
2024-04-22 00:00,1.066170,1.066910,1.062390,1.065610,0
2024-04-23 00:00,1.065610,1.071420,1.063850,1.070620,0
2024-04-24 00:00,1.070620,1.070880,1.067790,1.070580,0
2024-04-25 00:00,1.070580,1.074020,1.067830,1.072310,0
2024-04-26 00:00,1.072310,1.075270,1.067380,1.069110,0
2024-04-28 00:00,1.068980,1.071990,1.068980,1.071620,0
2024-04-29 00:00,1.071610,1.073370,1.069020,1.070540,0
2024-04-30 00:00,1.070550,1.073530,1.065580,1.065640,0
2024-05-01 00:00,1.065650,1.073260,1.064940,1.071460,0
2024-05-02 00:00,1.071470,1.073930,1.067420,1.073480,0
2024-05-03 00:00,1.073490,1.081240,1.072440,1.075940,0
2024-05-05 00:00,1.076000,1.077150,1.075530,1.076480,0
2024-05-06 00:00,1.076470,1.079070,1.075760,1.076870,0
2024-05-07 00:00,1.076870,1.078730,1.073800,1.074110,0
2024-05-08 00:00,1.074110,1.075740,1.073500,1.074760,0
2024-05-09 00:00,1.074770,1.078580,1.072390,1.077600,0
2024-05-10 00:00,1.077610,1.079000,1.076030,1.076940,0
2024-05-12 00:00,1.077210,1.077520,1.076580,1.077160,0
2024-05-13 00:00,1.077150,1.080680,1.076870,1.078760,0
2024-05-14 00:00,1.078760,1.082770,1.076690,1.082610,0
2024-05-15 00:00,1.082610,1.089490,1.082050,1.088720,0
2024-05-16 00:00,1.088720,1.088720,1.085430,1.085900,0
2024-05-17 00:00,1.085880,1.087840,1.083560,1.086740,0
2024-05-19 00:00,1.086640,1.087860,1.086400,1.087790,0
2024-05-20 00:00,1.087800,1.088440,1.085090,1.085590,0
2024-05-21 00:00,1.085570,1.087470,1.084250,1.085560,0
2024-05-22 00:00,1.085570,1.086330,1.081740,1.083030,0
2024-05-23 00:00,1.083020,1.086100,1.080480,1.080630,0
2024-05-24 00:00,1.080630,1.085780,1.080540,1.084600,0
2024-05-26 00:00,1.084500,1.085190,1.084300,1.084900,0
2024-05-27 00:00,1.084920,1.087850,1.084050,1.087840,0
2024-05-28 00:00,1.087840,1.088900,1.084570,1.084710,0
2024-05-29 00:00,1.084700,1.085880,1.079380,1.079790,0
2024-05-30 00:00,1.079790,1.084510,1.078830,1.081910,0
2024-05-31 00:00,1.081930,1.088220,1.081450,1.084500,0
2024-06-02 00:00,1.084620,1.085870,1.084530,1.084970,0
2024-06-03 00:00,1.084970,1.091600,1.082780,1.090740,0
2024-06-04 00:00,1.090740,1.091080,1.085900,1.087840,0
2024-06-05 00:00,1.087830,1.089570,1.085440,1.089060,0
2024-06-06 00:00,1.089060,1.090200,1.086190,1.089450,0
2024-06-07 00:00,1.089440,1.090180,1.079930,1.080170,0
2024-06-09 00:00,1.077830,1.078140,1.075540,1.075550,0
2024-06-10 00:00,1.075540,1.076900,1.073270,1.076850,0
2024-06-11 00:00,1.076830,1.077340,1.071940,1.074020,0
2024-06-12 00:00,1.074010,1.085210,1.073550,1.080680,0
2024-06-13 00:00,1.080680,1.081630,1.073280,1.074010,0
2024-06-14 00:00,1.074010,1.074090,1.066760,1.070250,0
2024-06-16 00:00,1.070280,1.070890,1.069890,1.070360,0
2024-06-17 00:00,1.070370,1.074100,1.068630,1.072460,0
2024-06-18 00:00,1.072460,1.076150,1.070990,1.073770,0
2024-06-19 00:00,1.073770,1.075330,1.072480,1.074190,0
2024-06-20 00:00,1.074190,1.074490,1.070120,1.071620,0
2024-06-21 00:00,1.071620,1.072050,1.067100,1.069180,0
2024-06-23 00:00,1.068490,1.069550,1.068370,1.069160,0
2024-06-24 00:00,1.069160,1.074630,1.069140,1.073850,0
2024-06-25 00:00,1.073850,1.074410,1.069060,1.071100,0
2024-06-26 00:00,1.071090,1.071150,1.066600,1.069080,0
2024-06-27 00:00,1.069070,1.072640,1.068050,1.069210,0
2024-06-28 00:00,1.069210,1.072460,1.068560,1.071190,0
2024-06-30 00:00,1.074380,1.076150,1.073200,1.075280,0
2024-07-01 00:00,1.075270,1.077630,1.071970,1.073220,0
