date,cash,positions,total
2021-01-19,25146.25111287566,327969.8142404162,353116.06535329187
2021-01-20,25146.25111287566,330167.1456210304,355313.39673390606
2021-01-21,25146.25111287566,327465.41913419694,352611.6702470726
2021-01-22,25146.25111287566,327147.21258586884,352293.4636987445
2021-01-25,25146.25111287566,332876.9279777662,358023.17909064185
2021-01-26,25146.25111287566,333299.12456800154,358445.3756808772
2021-01-27,25146.25111287566,325167.95316398237,350314.204276858
2021-01-28,25146.25111287566,321605.2425656789,346751.49367855454
2021-01-29,25146.25111287566,311226.4118813379,336372.6629942135
2021-02-01,25146.25111287566,323160.8705565483,348307.12166942394
2021-02-02,25146.25111287566,334598.35622290766,359744.6073357833
2021-02-03,25146.25111287566,329495.5619549892,354641.81306786486
2021-02-04,25146.25111287566,328108.25409854215,353254.5052114178
2021-02-05,25146.25111287566,328605.85033456015,353752.1014474358
2021-02-08,25146.25111287566,333509.0674555023,358655.31856837793
2021-02-09,25146.25111287566,329839.89078366506,354986.1418965407
2021-02-10,25146.25111287566,320854.81660222926,346001.0677151049
2021-02-11,25146.25111287566,323374.0883473498,348520.3394602254
2021-02-12,25146.25111287566,325587.0296476156,350733.28076049127
2021-02-16,25146.25111287566,322642.5209206657,347788.77203354135
2021-02-17,25146.25111287566,322051.7202068609,347197.97131973656
2021-02-18,25146.25111287566,318553.2972613347,343699.54837421037
2021-02-19,25146.25111287566,319282.4891902553,344428.74030313094
2021-02-22,25146.25111287566,307213.6808748058,332359.9319876814
2021-02-23,25146.25111287566,304697.4999912128,329843.75110408844
2021-02-24,25146.25111287566,316458.26800626615,341604.5191191418
2021-02-25,25146.25111287566,299921.38451066345,325067.6356235391
2021-02-26,25146.25111287566,298244.2961760031,323390.54728887876
2021-03-01,25146.25111287566,312276.53924210224,337422.7903549779
2021-03-02,25146.25111287566,304346.87915475765,329493.1302676333
2021-03-03,25146.25111287566,297220.60860599665,322366.8597188723
2021-03-04,25146.25111287566,288653.45929992053,313799.7104127962
2021-03-05,25146.25111287566,285875.4260006806,311021.67711355624
2021-03-08,25146.25111287566,280855.21054643457,306001.4616593102
2021-03-09,25146.25111287566,302437.4363467634,327583.68745963904
2021-03-10,25146.25111287566,297880.860587186,323027.11170006165
2021-03-11,25146.25111287566,302304.0805512066,327450.33166408224
2021-03-12,25146.25111287566,301961.5190672813,327107.7701801569
2021-03-15,25146.25111287566,310438.0277155542,335584.2788284299
2021-03-16,25146.25111287566,304196.0243027371,329342.27541561273
2021-03-17,25146.25111287566,311470.5189517194,336616.77006459504
2021-03-18,25146.25111287566,297866.2299410994,323012.48105397506
2021-03-19,25146.25111287566,297908.33160350483,323054.5827163805
2021-03-22,25146.25111287566,301472.2936925574,326618.544805433
2021-03-23,25146.25111287566,295964.1371989062,321110.38831178186
2021-03-24,25146.25111287566,286297.22787348967,311443.4789863653
2021-03-25,25146.25111287566,289498.6733654064,314644.92447828205
2021-03-26,25146.25111287566,289302.2725746644,314448.52368754003
2021-03-29,25146.25111287566,286688.1014818898,311834.3525947654
2021-03-30,25146.25111287566,291446.3770477139,316592.62816058955
2021-03-31,25146.25111287566,297548.3083588582,322694.55947173387
2021-04-01,48249.09578005484,275945.1046735271,324194.200453582
2021-04-05,48249.09578005484,276519.12091532093,324768.2166953758
2021-04-06,48249.09578005484,274963.23504837917,323212.33082843403
2021-04-07,48249.09578005484,275089.92594686366,323339.0217269185
2021-04-08,48249.09578005484,274689.05746282754,322938.1532428824
2021-04-09,48249.09578005484,275007.67493031255,323256.7707103674
2021-04-12,48249.09578005484,273249.48937743256,321498.5851574874
2021-04-13,48249.09578005484,273110.87859159085,321359.9743716457
2021-04-14,48249.09578005484,276075.78999429214,324324.885774347
2021-04-15,48249.09578005484,274567.3804355443,322816.47621559916
2021-04-16,48249.09578005484,273423.39970281103,321672.4954828659
2021-04-19,48249.09578005484,272732.40914833563,320981.5049283905
2021-04-20,48249.09578005484,265521.4857179031,313770.581497958
2021-04-21,48249.09578005484,268663.24826561334,316912.3440456682
2021-04-22,48249.09578005484,266295.23404299456,314544.3298230494
2021-04-23,48249.09578005484,268890.0527618241,317139.14854187897
2021-04-26,48249.09578005484,269989.7770088728,318238.8727889277
2021-04-27,48249.09578005484,271346.79788348597,319595.89366354083
2021-04-28,48249.09578005484,271681.4667088127,319930.56248886755
2021-04-29,48249.09578005484,274451.9182104438,322701.0139904987
2021-04-30,48249.09578005484,270325.8718592771,318574.96763933194
2021-05-03,48249.09578005484,274189.30545448704,322438.4012345419
2021-05-04,48249.09578005484,273501.19512817165,321750.2909082265
2021-05-05,48249.09578005484,275774.619630519,324023.7154105739
2021-05-06,48249.09578005484,277564.99644132773,325814.0922213826
2021-05-07,48249.09578005484,281046.9075520155,329296.00333207037
2021-05-10,48249.09578005484,280647.341824115,328896.4376041699
2021-05-11,48249.09578005484,274467.35215589555,322716.4479359504
2021-05-12,48249.09578005484,271471.6026697115,319720.6984497664
2021-05-13,48249.09578005484,272423.4004635567,320672.49624361156
2021-05-14,48249.09578005484,276983.5478277183,325232.6436077732
2021-05-17,48249.09578005484,277962.3623445195,326211.4581245744
2021-05-18,48249.09578005484,273355.7178497449,321604.81362979976
2021-05-19,48249.09578005484,270129.74994609435,318378.8457261492
2021-05-20,48249.09578005484,270949.9022860603,319198.9980661152
2021-05-21,48249.09578005484,273908.81354874297,322157.90932879783
2021-05-24,48249.09578005484,276121.4165234711,324370.512303526
2021-05-25,48249.09578005484,274326.248241465,322575.3440215199
2021-05-26,48249.09578005484,276428.7941483713,324677.8899284262
2021-05-27,48249.09578005484,282160.4476238013,330409.54340385617
2021-05-28,48249.09578005484,280326.09953924577,328575.19531930063
2021-06-01,48249.09578005484,285978.8510815492,334227.94686160405
2021-06-02,48249.09578005484,286613.71849445696,334862.8142745118
2021-06-03,48249.09578005484,285575.5317356187,333824.6275156736
2021-06-04,48249.09578005484,285872.20932556136,334121.3051056162
2021-06-07,48249.09578005484,285257.0747649337,333506.1705449886
2021-06-08,48249.09578005484,286500.2794972726,334749.3752773275
2021-06-09,48249.09578005484,284610.0561391586,332859.1519192135
2021-06-10,48249.09578005484,284104.6950775408,332353.7908575957
2021-06-11,48249.09578005484,283448.0873135041,331697.18309355894
2021-06-14,48249.09578005484,281598.73125379806,329847.8270338529
2021-06-15,48249.09578005484,284445.7061236688,332694.8019037237
2021-06-16,48249.09578005484,282794.6025681045,331043.6983481594
2021-06-17,48249.09578005484,276104.2438145957,324353.33959465055
2021-06-18,48249.09578005484,270236.5868294578,318485.68260951265
2021-06-21,48249.09578005484,277787.9443032687,326037.04008332355
2021-06-22,48249.09578005484,278189.5434414913,326438.6392215462
2021-06-23,48249.09578005484,278897.6360743008,327146.73185435566
2021-06-24,48249.09578005484,282460.96214122605,330710.0579212809
2021-06-25,48249.09578005484,282805.5141724147,331054.6099524696
2021-06-28,48249.09578005484,276828.38657668844,325077.4823567433
2021-06-29,48249.09578005484,275728.0563592771,323977.15213933197
2021-06-30,48249.09578005484,279465.3425250242,327714.43830507906
2021-07-01,40668.665372563286,288015.93430755514,328684.59968011844
2021-07-02,40668.665372563286,291313.4235147261,331982.0888872894
2021-07-06,40668.665372563286,292268.42015291634,332937.08552547963
2021-07-07,40668.665372563286,293852.4892313527,334521.154603916
2021-07-08,40668.665372563286,290582.6693999741,331251.3347725374
2021-07-09,40668.665372563286,293670.62745011284,334339.2928226761
2021-07-12,40668.665372563286,296072.23117126897,336740.89654383226
2021-07-13,40668.665372563286,295092.8268130039,335761.4921855672
