simulation,return_pct
77,1.5659122242597317e+38
78,9.840485763127989e+39
79,3.783564630841941e+35
80,2.3624692959218612e+35
81,6.102434067480243e+31
82,1.7328365301743512e+37
83,5.812949073273263e+32
84,4.406131716504241e+34
85,1.0337823333214956e+43
86,3.0528348625390673e+38
87,2.2555471053549137e+35
88,4.1514512649826296e+33
89,5.839572607146174e+32
90,2.8596990890170367e+37
91,9.75733285933123e+33
92,1.1528704795603802e+34
93,4.8054974593830806e+33
94,8.67491606274242e+31
95,1.0075058335775207e+33
96,2.2719242071515335e+40
97,1.1455130744569893e+37
98,4.285618791321668e+35
99,4.919373583896618e+38
100,3.024248139750905e+36
101,2.980919552137635e+39
102,1.1958924119902496e+36
103,1.9037433270608793e+37
104,7.724250198260547e+32
105,5.973741990868807e+42
106,3.1270432475034403e+31
107,4.1349286779815044e+33
108,3.386679857827806e+33
109,4.325874467909425e+36
110,2.743203917559768e+30
111,7.93995109115616e+39
112,1.0528850460976162e+35
113,7.556219937724072e+37
114,1.5664559355697733e+38
115,6.1262174916398634e+32
116,7.419902776214492e+38
117,2.46915616250452e+31
118,2.354059726715388e+38
119,2.053220393026029e+33
120,2.0023442313902167e+36
121,8.920606007658019e+31
122,1.0589710024781843e+38
123,2.4056307070018075e+33
124,7.268650339992157e+34
125,5.549728979326619e+39
126,1.7626459715335333e+36
127,1.2787267398467986e+34
128,2.3159704731332422e+33
129,9.816399023929007e+29
130,7.44585826732614e+39
131,2.340927602641791e+34
132,3.3680679827353506e+36
133,2.088860371235601e+31
134,6.830385030212884e+35
135,1.2752726050682979e+32
136,4.279097305059055e+40
137,5.69092461496474e+33
138,1.0706329242955798e+38
139,2.6986333756484694e+39
140,3.36005620058541e+37
141,1.6993250372494803e+32
142,1.1817128178185793e+30
143,2.9591689754387454e+37
144,8.92352086488246e+35
145,3.4137355325649265e+33
146,4.368977565170733e+32
147,3.92248321374842e+40
148,4.839720129978899e+37
149,2.063419495547007e+36
150,3.6340236135458676e+35
151,4.088945905942482e+41
152,8.149202089060145e+33
153,1.301998399162353e+38
